"study","group","trial","condition","delay","embed","radius","RR_HR","DET_HR","maxL_HR","L_HR","ENTR_HR","LAM_HR","TT_HR","delay","embed","radius","RR_Resp","DET_Resp","maxL_Resp","L_Resp","ENTR_Resp","LAM_Resp","TT_Resp"
"Study1","3_and_4","v1","SelfPaced",30,10,2.64562373610073,2.16736757199416,92.5,60,5.30581205866377,2.2844223554005,96.5025252525252,6.77270713336287,12.5,2,0.408805804177442,4.07615826864127,79.1285686563246,31,3.59389257569473,1.7069244419832,87.4239466684931,4.24322677156629
"Study1","3_and_4","v1","Synchronous",30,10,2.64562373610073,7.05467138269882,96.9659303813202,157,7.66355184972206,2.71085358623688,98.3241070291705,11.4006608548931,12.5,2,0.408805804177442,4.22061473523699,72.7243015992097,29,3.3934562595314,1.59522439890582,82.6426698556775,3.78606186408956
"Study1","3_and_4","v1","TurnTaking",30,10,2.64562373610073,2.24555797209178,91.7784170227167,26,5.03784976198769,2.22610334024172,95.4439697110707,6.48799424874191,12.5,2,0.408805804177442,3.90321205074344,72.1157139469732,34,3.03190075321223,1.38279555741417,86.1206495297145,3.52161890397185
"Study1","3_and_4","v2","SelfPaced",30,10,2.64562373610073,3.23593177991641,88.5008139706971,154,5.83089566792032,2.38533339459922,97.3762658829996,8.38638018936635,12.5,2,0.408805804177442,5.97360079956969,89.9230421710209,52,4.96772666637979,2.18126327856549,93.2654110389307,5.46540076684316
"Study1","3_and_4","v2","Synchronous",30,10,2.64562373610073,3.52906805894841,77.6010860079511,28,5.22005707297187,2.25691217848424,96.3456317269466,7.94175242281946,12.5,2,0.408805804177442,5.73133830502013,88.2424050148235,68,4.85196547264579,2.15889723127228,91.4193350764148,5.3146882055522
"Study1","3_and_4","v2","TurnTaking",30,10,2.64562373610073,3.10092946664317,86.445999969366,33,4.83657554203445,2.19038114103117,92.5360332072235,6.01433549029368,12.5,2,0.408805804177442,4.66443900860532,76.7016476329056,45,3.73821633237822,1.70645859983688,81.4909534517983,4.16699860959753
"Study1","3_and_4","v3","SelfPaced",30,10,2.64562373610073,2.46243879478491,92.192926402356,41,7.34462151394422,2.53862082318208,95.1212735809741,12.0893361581921,12.5,2,0.408805804177442,7.78259000277318,92.8111921559249,46,5.89959335689583,2.40986542861519,97.7328709793136,9.520559114735
"Study1","3_and_4","v3","Synchronous",30,10,2.64562373610073,2.54076303734942,84.6445226350612,101,6.89306279133534,2.43465330909142,86.2859644101753,10.5894628099174,12.5,2,0.408805804177442,6.80889937789125,91.3283300336111,46,5.66682855755221,2.35270227879656,97.2646070261062,9.14458248560668
"Study1","3_and_4","v3","TurnTaking",30,10,2.64562373610073,1.94528263261963,92.3039359312433,50,6.57003823427181,2.38566363754028,95.9248950092783,11.40737514518,12.5,2,0.408805804177442,4.11680259311464,79.5492014854536,37,3.52080339045513,1.65107840472541,92.5918832953088,5.32673883885802
"Study1","3_and_4","v4","SelfPaced",30,10,2.64562373610073,4.72148163655408,95.0052888586208,162,6.36007372199049,2.50545424218374,98.0032747453378,10.0512706197058,12.5,2,0.408805804177442,4.59501311212402,81.3779694999696,31,3.98888171936268,1.88147797278523,92.3162606071653,5.44144681867017
"Study1","3_and_4","v4","Synchronous",30,10,2.64562373610073,7.90549913360233,95.8434784490688,255,7.88427471402501,2.73359703232301,97.8643855035765,12.5639761044735,12.5,2,0.408805804177442,4.22516048048214,70.7317435113598,30,3.3798262719376,1.59688177528524,87.9019692225503,4.96704540690118
"Study1","3_and_4","v4","TurnTaking",30,10,2.64562373610073,2.5999797663248,86.4852027767629,123,4.44985430961557,2.01795531321287,93.1037632444282,6.51143477705379,12.5,2,0.408805804177442,3.96607917555627,63.5551983128927,20,2.84013749951721,1.24979857762548,77.8039947796475,3.60584818746245
"Study2","10_and_5","v1","Conversation",30,10,2.64562373610073,2.94744009296301,84.4980873827028,24,3.7107188556055,1.77983342853566,86.5967365967366,3.95091522650578,12.5,2,0.408805804177442,4.23468893883151,74.1897012236785,52,3.15245200682726,1.43864520536491,85.0893430233762,3.73426624261699
"Study2","10_and_5","v1","TurnTaking",30,10,2.64562373610073,3.43165547312681,90.3014046728312,68,4.82986683141131,2.1768674085167,91.643832979331,5.25035844270431,12.5,2,0.408805804177442,3.958233377945,74.7084883926989,39,2.95063953386642,1.31153816800595,83.4139642034379,3.29642663305146
"Study2","10_and_5","v2","Conversation",30,10,2.64562373610073,4.71582046969927,91.9389408507002,69,5.51821748878924,2.34453328235873,97.5227991202551,7.69974929951335,12.5,2,0.408805804177442,4.13929291909015,77.0573407612955,32,3.17285048929824,1.4801356154794,86.0501175623292,3.68032252219605
"Study2","10_and_5","v2","TurnTaking",30,10,2.64562373610073,3.77225119303191,87.8304067622472,28,4.71341749945177,2.12097974235207,91.1391444449633,5.89618187998036,12.5,2,0.408805804177442,4.16980561658095,75.2158462476607,39,3.2028222484868,1.48993084347697,85.9869209580083,3.76926905705595
